state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Tripura,age_18_21,16,29.0909,12.8811,9.3503,27.2727,17.9141,0.0,70.9091,87.1189,90.6497,72.7273,82.0859,100.0
Tripura,age_22_25,16,30.6094,14.1329,9.7358,13.3333,21.0231,1.1628,69.3906,85.8671,90.2642,86.6667,78.9769,98.8372
Tripura,age_26_29,16,34.7462,16.2913,12.672,12.5,27.2993,0.0,65.2538,83.7087,87.328,87.5,72.7007,100.0
Tripura,age_30_33,16,43.4587,16.7657,15.1487,10.0,33.949,0.3759,56.5413,83.2343,84.8513,90.0,66.051,99.6241
Tripura,age_34_plus,16,55.9,33.8389,25.4124,15.7407,47.3015,1.0204,44.1,66.1611,74.5876,84.2593,52.6985,98.9796
Meghalaya,age_below10,17,82.4528,86.8793,79.8886,85.0,89.7505,73.7374,17.5472,13.1207,20.1114,15.0,10.2495,26.2626
Meghalaya,age_10_13,17,28.91,31.5743,21.931,48.3871,48.7336,11.6883,71.09,68.4257,78.069,51.6129,51.2664,88.3117
Meghalaya,age_14_17,17,17.316,23.7576,18.2076,30.303,44.1292,21.3115,82.684,76.2424,81.7924,69.697,55.8708,78.6885
Meghalaya,age_18_21,17,16.0256,22.8876,18.0475,44.4444,40.1322,8.2645,83.9744,77.1124,81.9525,55.5556,59.8678,91.7355
Meghalaya,age_22_25,17,9.4915,24.5178,17.1797,19.3548,41.4939,13.913,90.5085,75.4822,82.8203,80.6452,58.5061,86.087
Meghalaya,age_26_29,17,22.0994,27.6428,20.4241,15.3846,46.178,18.125,77.9006,72.3572,79.5759,84.6154,53.822,81.875
Meghalaya,age_30_33,17,17.1779,28.6661,20.1531,16.0,50.5203,13.1868,82.8221,71.3339,79.8469,84.0,49.4797,86.8132
Meghalaya,age_34_plus,17,27.907,35.9478,26.3475,18.6335,54.916,24.0296,72.093,64.0522,73.6525,81.3665,45.084,75.9704
Assam,age_below10,18,75.5306,80.6295,75.7565,70.0367,85.0715,70.1156,24.4694,19.3705,24.2435,29.9633,14.9285,29.8844
Assam,age_10_13,18,17.8558,27.8925,15.9741,2.6804,36.8212,4.0046,82.1442,72.1075,84.0259,97.3196,63.1788,95.9954
Assam,age_14_17,18,14.4535,26.2358,14.3493,3.1938,35.229,3.9642,85.5465,73.7642,85.6507,96.8062,64.771,96.0358
Assam,age_18_21,18,13.4862,27.7073,14.9936,2.5948,35.1846,2.7778,86.5138,72.2927,85.0064,97.4052,64.8154,97.2222
Assam,age_22_25,18,13.7465,28.279,15.078,2.2189,35.1767,3.3694,86.2535,71.721,84.922,97.7811,64.8233,96.6306
Assam,age_26_29,18,17.3292,32.7461,19.082,2.4876,41.0738,3.4763,82.6708,67.2539,80.918,97.5124,58.9262,96.5237
Assam,age_30_33,18,18.8199,37.0784,22.514,2.3593,46.8943,3.7206,81.1801,62.9216,77.486,97.6407,53.1057,96.2794
Assam,age_34_plus,18,27.5111,42.9582,27.7557,2.6683,51.2832,7.303,72.4889,57.0418,72.2443,97.3317,48.7168,92.697
West Bengal,age_below10,19,71.384,74.5962,73.7021,68.6535,79.4053,69.7321,28.616,25.4038,26.2979,31.3465,20.5947,30.2679
West Bengal,age_10_13,19,8.6614,14.2653,10.9206,2.6328,23.6577,5.2371,91.3386,85.7347,89.0794,97.3672,76.3423,94.7629
West Bengal,age_14_17,19,7.9476,14.3167,11.8276,2.741,26.2987,5.5097,92.0524,85.6833,88.1724,97.259,73.7013,94.4903
West Bengal,age_18_21,19,9.9877,15.9666,13.3627,2.0739,28.6025,4.6414,90.0123,84.0334,86.6373,97.9261,71.3975,95.3586
West Bengal,age_22_25,19,10.8169,17.6355,14.3591,2.1477,30.9929,5.4851,89.1831,82.3645,85.6409,97.8523,69.0071,94.5149
West Bengal,age_26_29,19,12.3852,21.1857,17.6999,2.6373,35.9755,6.7272,87.6148,78.8143,82.3001,97.3627,64.0245,93.2728
West Bengal,age_30_33,19,14.0649,23.4893,20.7719,3.0822,40.7087,7.0517,85.9351,76.5107,79.2281,96.9178,59.2913,92.9483
West Bengal,age_34_plus,19,25.2179,29.234,23.6105,3.7261,44.0083,11.2834,74.7821,70.766,76.3895,96.2739,55.9917,88.7166
Jharkhand,age_below10,20,82.0,79.668,80.3766,73.0035,81.6347,71.1318,18.0,20.332,19.6234,26.9965,18.3653,28.8682
Jharkhand,age_10_13,20,17.5439,17.7282,22.1711,4.9062,25.6756,6.8827,82.4561,82.2718,77.8289,95.0938,74.3244,93.1173
Jharkhand,age_14_17,20,19.1057,12.9719,18.6473,2.4653,23.4551,5.4023,80.8943,87.0281,81.3527,97.5347,76.5449,94.5977
Jharkhand,age_18_21,20,13.4454,12.9286,18.6845,3.1447,22.8753,3.4816,86.5546,87.0714,81.3155,96.8553,77.1247,96.5184
Jharkhand,age_22_25,20,15.4676,13.7272,21.2155,2.4204,24.387,3.4797,84.5324,86.2728,78.7845,97.5796,75.613,96.5203
Jharkhand,age_26_29,20,18.107,18.1053,26.9762,1.8336,28.4486,5.2304,81.893,81.8947,73.0238,98.1664,71.5514,94.7696
Jharkhand,age_30_33,20,23.348,23.0233,33.0567,3.653,33.6303,6.188,76.652,76.9767,66.9433,96.347,66.3697,93.812
Jharkhand,age_34_plus,20,33.7209,31.1078,41.6487,4.8758,40.7486,10.0538,66.2791,68.8922,58.3513,95.1242,59.2514,89.9462
State - ORISSA  21,age_below10,21,75.8974,79.3297,76.5731,71.4834,75.0643,69.8558,24.1026,20.6703,23.4269,28.5166,24.9357,30.1442
State - ORISSA  21,age_10_13,21,6.0484,20.0544,15.1173,2.1978,15.5135,3.8667,93.9516,79.9456,84.8827,97.8022,84.4865,96.1333
State - ORISSA  21,age_14_17,21,5.6604,19.6576,14.3212,1.3736,14.6112,2.2255,94.3396,80.3424,85.6788,98.6264,85.3888,97.7745
State - ORISSA  21,age_18_21,21,11.1702,21.4056,14.7525,1.9608,15.0693,2.7431,88.8298,78.5944,85.2475,98.0392,84.9307,97.2569
State - ORISSA  21,age_22_25,21,13.5632,23.2431,15.7271,2.1401,14.978,2.9167,86.4368,76.7569,84.2729,97.8599,85.022,97.0833
State - ORISSA  21,age_26_29,21,9.589,31.219,21.2948,3.4965,17.6306,4.1758,90.411,68.781,78.7052,96.5035,82.3694,95.8242
