state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Sikkim,age_10_13,11,61.5074,61.3806,64.0441,66.6667,62.5,22.2222,15.5223,14.9206,16.7309,25.0,30.9904,10.0,84.4777,85.0794,83.2691,75.0,69.0096,90.0,3.7037,3.4204,3.0473,0.0,3.2407,0.0
Sikkim,age_14_17,11,21.4968,20.7054,22.0163,0.0,21.8543,10.0,14.7666,14.8972,15.3679,14.2857,31.0502,0.0,85.2334,85.1028,84.6321,85.7143,68.9498,100.0,25.207,24.6244,24.6308,66.6667,25.8278,50.0
Sikkim,age_18_21,11,15.4239,14.8784,16.2374,50.0,14.0,0.0,18.4846,17.4734,19.2535,0.0,46.2366,0.0,81.5154,82.5266,80.7465,100.0,53.7634,100.0,26.4556,25.7511,25.5671,0.0,22.0,0.0
Arunachal Pradesh,age_below10,12,97.5762,96.7341,96.9409,100.0,96.1929,100.0,87.0925,87.6808,83.4302,85.7143,85.7246,69.7917,12.9075,12.3192,16.5698,14.2857,14.2754,30.2083,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,age_10_13,12,60.5885,64.8059,52.5562,60.0,51.4957,24.3243,43.9654,42.309,32.8858,44.4444,44.6809,15.9091,56.0346,57.691,67.1142,55.5556,55.3191,84.0909,2.6773,2.904,5.4334,0.0,4.7009,13.5135
Arunachal Pradesh,age_14_17,12,20.6755,23.8411,17.5414,0.0,13.6213,10.3448,43.2689,33.6774,32.5524,0.0,40.396,6.4516,56.7311,66.3226,67.4476,100.0,59.604,93.5484,27.6946,25.1159,30.83,16.6667,31.8937,24.1379
Arunachal Pradesh,age_18_21,12,18.9281,15.9149,14.1662,0.0,19.1083,0.0,51.7196,38.1773,37.8289,0.0,49.3548,0.0,48.2804,61.8227,62.1711,100.0,50.6452,100.0,27.5441,25.3025,23.4668,0.0,19.1083,9.0909
Nagaland,age_below10,13,96.1538,93.1083,93.9923,92.4528,90.8867,84.2105,76.3636,79.2132,79.1418,67.6829,91.4001,74.3243,23.6364,20.7868,20.8582,32.3171,8.5999,25.6757,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,age_10_13,13,35.0,36.687,40.4485,17.1053,45.9016,18.1818,13.0435,25.2527,23.8799,9.5238,63.8786,37.1429,86.9565,74.7473,76.1201,90.4762,36.1214,62.8571,11.6667,8.0503,9.2281,17.1053,4.918,18.1818
Nagaland,age_14_17,13,6.1224,8.6125,11.5774,3.2787,16.8022,3.3333,16.9492,22.7848,20.4824,1.6129,55.914,26.8293,83.0508,77.2152,79.5176,98.3871,44.086,73.1707,40.8163,38.916,37.7149,37.7049,31.9783,43.3333
Nagaland,age_18_21,13,11.5385,6.6529,8.607,3.125,12.3153,16.6667,13.3333,25.8268,23.6489,5.8824,59.481,53.8462,86.6667,74.1732,76.3511,94.1176,40.519,46.1538,30.7692,28.1395,23.1597,9.375,26.1084,16.6667
Manipur,age_below10,14,95.6522,92.7026,94.5655,91.6667,93.4588,100.0,90.1288,84.2494,80.3331,73.3333,84.3179,81.1881,9.8712,15.7506,19.6669,26.6667,15.6821,18.8119,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,age_10_13,14,50.0,46.7443,35.0635,15.3846,42.2056,33.3333,41.2844,30.1323,13.7787,1.8868,31.9718,10.6383,58.7156,69.8677,86.2213,98.1132,68.0282,89.3617,3.125,6.0807,11.1526,25.0,8.8359,19.0476
