source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,Not stated,18736,23626,17206,19971,0,0,0,0,0,0,0,0,0,0,0,0,17206,19971
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,All ages,226099,244753,215137,215072,26550,27562,31653,32702,62281,64456,46177,43792,22179,19817,13384,11707,12913,15036
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,Less than 10,2054,3215,1987,2935,1,5,12,19,321,1024,819,978,425,525,407,382,2,2
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,10-11,438,919,424,853,4,16,7,44,116,368,190,245,68,114,39,63,0,3
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,12-13,418,1814,408,1659,9,55,19,180,143,744,163,394,46,177,28,107,0,2
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,14-15,1443,9362,1365,8499,85,560,159,1225,475,3236,402,2082,143,851,100,545,1,0
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,16-17,5393,27047,5115,24717,592,3511,791,4360,1802,8828,1052,4842,504,1998,368,1162,6,16
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,18-19,24210,73675,23050,67480,2840,9785,4054,12171,7722,22161,4755,14056,2199,5882,1476,3366,4,59
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,20-21,54276,56084,51528,47991,5455,5805,8293,7607,16030,14620,12042,11217,5796,5346,3857,3353,55,43
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,22-23,35753,21715,34483,18914,5067,3178,5880,3130,10664,5661,7606,4010,3383,1841,1857,1083,26,11
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,24-25,37017,16301,35166,13307,4736,2089,4976,1939,10415,3780,8104,2982,4275,1570,2636,937,24,10
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,26-27,16915,6299,16255,5387,2998,1121,2585,791,4927,1539,3355,1105,1561,557,815,270,14,4
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,28-29,11916,4175,11427,3553,2019,653,1784,540,3343,1051,2483,744,1209,398,584,165,5,2
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,30-31,11123,3207,10488,2380,1093,266,1482,339,2991,637,2617,601,1520,351,779,186,6,0
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,32-33,3465,952,3350,819,530,145,561,142,1076,233,766,197,292,74,123,28,2,0
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Rural,34 +,7648,2152,7325,1696,1121,373,1050,215,2256,574,1823,339,758,133,315,60,2,2
