state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
Meghalaya,age_30_33,17,22.5976,7.0934,7.7048,7.8281,8.4306,8.1807,8.8835,9.2963,8.2014,9.6947,10.3046,7.8728,8.7767,11.071,23.9189,76.0811
Meghalaya,age_34_plus,17,27.3511,4.4903,5.1035,5.4191,5.9766,5.9514,5.5497,5.0892,5.2722,8.2992,5.9157,5.1806,5.6808,8.7555,33.0199,66.9801
Meghalaya,age_below10,17,92.9674,1.1512,1.1386,1.3832,1.7613,1.23,1.1621,1.213,1.3,1.103,0.945,1.2996,1.2147,0.0,81.2136,18.7864
Assam,age_10_13,18,33.9241,0.0996,0.102,0.1062,0.131,0.1273,0.1093,0.1095,0.1075,0.1424,0.1128,0.1241,0.1156,0.0,11.983,88.017
Assam,age_14_17,18,10.4199,1.6325,1.5635,1.2244,1.4059,1.7653,1.246,0.727,1.2398,1.681,1.1816,1.5752,1.3313,0.0,12.416,87.584
Assam,age_18_21,18,11.5203,24.9643,21.1733,20.4992,18.6484,24.6726,18.8106,11.6582,17.3155,14.9643,16.1968,21.1423,18.7014,0.0,14.3664,85.6336
Assam,age_22_25,18,11.968,36.0951,33.6336,34.6095,32.0975,35.6736,32.1558,25.9483,31.2218,22.6068,29.3306,33.2732,31.1393,5.5674,16.2466,83.7534
Assam,age_26_29,18,12.3811,16.5463,18.1975,18.7475,19.6178,15.971,19.6121,22.5143,20.4573,15.6589,20.9371,18.2539,19.0001,9.1375,20.3143,79.6857
Assam,age_30_33,18,12.4126,9.7519,12.2441,12.3073,13.8266,10.1154,14.0796,18.5452,13.9536,15.9372,16.4231,11.7663,14.014,10.5745,22.4662,77.5338
Assam,age_34_plus,18,18.949,5.5061,7.7016,7.6251,8.1951,6.2413,8.7272,12.2152,8.2653,12.7283,10.3041,7.0082,8.9469,10.554,30.6144,69.3856
Assam,age_below10,18,93.5515,1.1235,1.0607,1.1032,1.1638,1.0962,1.0981,1.071,1.1085,0.9151,1.086,1.1171,1.0949,0.0,75.4683,24.5317
West Bengal,age_10_13,19,32.8957,0.1683,0.223,0.1392,0.2149,0.3452,0.1679,0.1353,0.1519,0.5344,0.175,0.1988,0.2167,0.0,7.4027,92.5973
West Bengal,age_14_17,19,12.3535,3.5294,3.5994,2.2305,2.9933,4.3887,2.4866,1.0864,2.0606,4.3261,2.0968,3.2055,2.8055,0.0,8.3044,91.6956
West Bengal,age_18_21,19,14.6207,32.2073,30.4794,24.7885,26.5522,32.0386,24.0365,13.8725,21.9483,20.3593,20.0701,28.7492,24.3649,0.0,10.0479,89.9521
West Bengal,age_22_25,19,15.8482,36.4469,35.7236,36.8196,34.4466,34.7261,33.2238,28.8505,34.3764,25.2651,30.4325,35.2903,32.5213,10.1412,12.5219,87.4781
West Bengal,age_26_29,19,17.2817,14.6432,15.2312,19.1731,18.0974,13.6996,19.1436,24.1703,20.1946,16.333,21.142,16.1433,18.3134,13.8335,16.0368,83.9632
West Bengal,age_30_33,19,18.0994,6.4648,6.9503,9.3707,8.9225,6.9925,11.0458,16.2966,10.4924,12.9069,13.7788,7.2381,10.7408,14.1842,18.4513,81.5487
West Bengal,age_34_plus,19,22.1528,2.5924,2.9971,3.7518,3.5056,3.2916,5.0628,8.274,4.6501,7.9472,6.7146,2.9463,5.1311,14.1304,26.2578,73.7422
West Bengal,age_below10,19,93.6152,1.0617,1.1051,1.0995,1.1787,0.9818,1.1143,1.1625,1.1614,0.9719,1.138,1.1349,1.104,0.0,72.467,27.533
Jharkhand,age_10_13,20,42.6352,0.3703,0.4944,0.3551,0.4506,0.5658,0.3607,0.345,0.3728,1.0092,0.3564,0.4279,0.4431,0.0,8.6583,91.3417
Jharkhand,age_14_17,20,6.7749,4.6058,5.6052,4.0217,4.3197,6.0778,3.8341,3.5151,4.2727,8.1895,3.4833,4.94,4.6918,0.0,9.2215,90.7785
