state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male
Haryana,age_22_25,06,2.4655,2.8439,9.021,33.0104,8.1808,27.7466,8.3184,31.4054,13.9085,38.6766,7.4712,28.8326,15.6076,34.9169,16.8929,36.5882,10.4893,32.1435,13.1619,25.697,21.9791,36.9119,9.184,29.9383,12.9735,33.1738,19.8688,17.0101,16.4649,8.1311,83.5351,91.8689
Haryana,age_26_29,06,2.9929,2.8921,1.3789,7.1259,1.2225,6.1431,1.3057,7.1368,3.2328,15.6967,1.1667,6.0277,4.3882,12.2651,2.4312,11.6593,1.3774,7.9173,2.139,7.9003,7.1808,15.7687,1.2732,6.6318,2.3755,11.1702,24.0087,22.0876,22.4579,10.3193,77.5421,89.6807
Haryana,age_30_33,06,3.8615,3.1998,0.3474,2.2935,0.2568,2.1603,0.3106,2.1628,0.5868,3.4319,0.3405,2.7251,0.7582,3.1389,0.3753,2.6115,0.2202,2.1882,0.379,2.7936,1.1562,3.7958,0.2422,2.0128,0.4223,3.0004,19.4909,19.4363,30.9181,13.1748,69.0819,86.8252
Haryana,age_34_plus,06,5.3607,4.6373,0.1212,0.7289,0.0953,0.8925,0.1131,0.7599,0.2279,0.8651,0.181,1.2234,0.2073,0.8125,0.0918,0.6088,0.0603,0.6421,0.1487,1.1662,0.2868,0.8541,0.0817,0.6721,0.1513,0.8561,15.793,15.6844,60.4304,28.0653,39.5696,71.9347
Haryana,age_below10,06,96.1356,96.1477,1.4682,0.8282,1.5496,0.8953,1.7903,0.8984,1.5666,1.0156,1.7854,0.9122,1.5579,0.9643,1.0815,0.9491,1.298,0.9382,1.4652,0.9987,1.4477,1.0235,1.4042,0.9229,1.5136,0.9689,0.0,0.0,74.2012,73.209,25.7988,26.791
NCT of Delhi,age_10_13,07,32.8187,34.8022,4.4727,0.6859,4.6827,1.012,3.0841,0.4476,3.4974,0.3237,6.3779,1.079,2.4821,0.3844,0.8241,0.3085,1.9309,0.5339,2.6957,0.7201,2.4258,0.3842,3.2112,0.6798,2.6813,0.4319,0.0,0.0,4.9598,4.4483,95.0402,95.5517
NCT of Delhi,age_14_17,07,2.8976,3.2659,31.8103,6.0031,34.3557,8.2662,27.0198,5.3906,24.5342,3.1438,37.6712,9.1093,16.711,3.682,13.0965,3.2183,24.448,5.3764,21.8492,6.171,16.2492,3.676,31.0294,6.6028,21.2117,4.0345,0.0,0.0,4.8373,4.3895,95.1627,95.6105
NCT of Delhi,age_18_21,07,1.9455,2.6007,39.1749,38.5496,43.2045,41.1116,46.061,37.4838,41.4177,25.1084,41.0655,42.5661,30.1765,27.2215,51.6759,27.8975,51.8583,37.3042,44.4221,28.2539,29.6246,27.1639,47.7051,40.1348,42.4628,27.5952,0.0,0.0,6.8506,6.0421,93.1494,93.9579
NCT of Delhi,age_22_25,07,1.7762,2.122,13.0133,33.0858,8.6181,30.6876,13.3423,36.7089,19.2776,39.2792,7.5633,30.0413,27.9105,35.7842,22.5425,38.7014,12.9393,35.3815,19.7125,29.0411,28.4206,35.6793,10.0775,33.3745,20.7699,34.8891,29.3632,24.8871,10.1496,6.3426,89.8504,93.6574
NCT of Delhi,age_26_29,07,2.0168,1.872,4.9547,11.6514,1.3798,8.4677,4.1904,11.2288,4.8246,20.4013,1.234,7.7177,13.4212,20.4733,4.3967,18.1192,1.9032,11.5203,4.2732,16.2175,13.8425,20.5823,1.5104,9.4695,5.4997,19.733,37.5766,32.3496,14.4485,7.3183,85.5515,92.6817
