state_name,age_bracket,state_code,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male
Kerala,age_14_17,32,0.3226,0.631,0.2194,0.1581,1.0681,0.1697,0.0977,0.1856,0.6849,0.1478,0.365,0.279
Kerala,age_18_21,32,10.5467,13.9528,7.3527,5.4703,15.9986,6.2144,2.9885,6.1582,8.5709,5.6296,10.3125,6.8671
Kerala,age_below10,32,0.7723,0.6975,0.6611,0.7746,0.679,0.7299,0.724,0.7543,0.6564,0.7302,0.7407,0.725
Tamil Nadu,age_10_13,33,0.0712,0.0808,0.0618,0.0696,0.1299,0.0635,0.0568,0.0656,0.1519,0.061,0.0691,0.0776
Tamil Nadu,age_14_17,33,1.1849,1.1832,0.8699,0.7614,1.9441,0.7229,0.3413,0.6646,1.6561,0.5325,0.8922,0.8539
Tamil Nadu,age_18_21,33,23.4641,22.202,18.8563,16.4749,27.3428,15.7466,9.5593,15.7776,16.5415,12.4112,19.6446,16.2209
Tamil Nadu,age_below10,33,1.1343,1.119,1.1091,1.3005,1.033,1.3061,1.3806,1.2996,1.0553,1.4095,1.1989,1.2723
Puducherry,age_10_13,34,0.1068,0.1612,0.0488,0.0655,0.2653,0.0783,0.058,0.0913,0.2345,0.0757,0.1182,0.1059
Puducherry,age_14_17,34,0.8749,1.2131,0.476,0.4912,2.0525,0.4601,0.2826,0.5852,1.6498,0.4013,0.863,0.6616
Puducherry,age_18_21,34,17.7735,19.4395,9.6656,11.1984,23.1825,10.2093,7.4224,12.3254,14.8937,9.1645,16.3839,11.2009
Puducherry,age_below10,34,0.9369,0.8983,1.1716,0.9496,0.8988,0.9908,0.9918,0.9318,0.7961,0.9918,0.9501,0.9646
Andaman & Nicobar Islands,age_10_13,35,0.225,0.3009,0.1562,0.1404,0.3233,0.1616,0.2052,0.167,0.4663,0.1609,0.1719,0.2042
Andaman & Nicobar Islands,age_14_17,35,2.1372,2.1063,1.4283,1.264,2.6848,1.2941,0.8283,1.1827,2.3982,1.2559,1.965,1.4632
Andaman & Nicobar Islands,age_18_21,35,20.135,24.1725,22.071,16.7135,23.032,16.4928,12.1898,16.526,19.094,15.6865,22.5928,17.1025
Andaman & Nicobar Islands,age_below10,35,0.4499,0.2898,0.3347,0.1404,0.5412,0.5779,0.6492,0.5288,0.2665,0.6166,0.4962,0.5379
