state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Gujarat,age_18_21,24,6.7992,4.7764,61.4603,30.2213,45.029,2.5329,4.7893,21.8098,44.5426,66.8066,55.8546,8.5361,4.443,91.4639,95.557,44.9968,33.1934,44.1454
Gujarat,age_below10,24,94.3492,94.1102,0.0,0.0,0.0,0.6946,0.7466,0.452,0.6503,27.7,26.9353,71.5273,70.7756,28.4727,29.2244,27.248,72.3,73.0647
Daman & Diu,age_10_13,25,18.552,17.8423,0.7273,0.9772,0.8591,1.7699,1.6327,0.0,0.8163,3.5398,2.8571,2.2124,1.6327,97.7876,98.3673,3.5398,96.4602,97.1429
Daman & Diu,age_14_17,25,1.0101,1.1194,9.7902,2.0408,5.5644,0.0,2.1818,1.9802,6.9091,9.901,11.2727,1.9802,2.5455,98.0198,97.4545,7.9208,90.099,88.7273
Daman & Diu,age_18_21,25,1.5625,0.7874,48.9726,11.7816,28.75,0.0,6.1538,4.5113,24.6154,28.5714,30.7692,3.7594,2.3077,96.2406,97.6923,24.0602,71.4286,69.2308
Daman & Diu,age_below10,25,93.3824,94.6565,0.0,0.0,0.0,0.8299,1.2552,0.0,0.0,24.4813,25.1046,69.161,71.2719,30.839,28.7281,24.4813,75.5187,74.8954
Dadra & Nagar Haveli,age_10_13,26,19.3277,22.2689,2.0339,1.2903,1.6529,0.8097,0.8163,1.2146,2.0408,6.8826,8.1633,3.6437,2.8571,96.3563,97.1429,5.668,93.1174,91.8367
Dadra & Nagar Haveli,age_14_17,26,3.211,2.2026,21.4022,4.0498,11.9932,1.8018,4.7619,2.2523,9.5238,18.018,14.2857,1.8018,1.7316,98.1982,98.2684,15.7658,81.982,85.7143
Dadra & Nagar Haveli,age_18_21,26,3.2609,5.4422,78.8462,32.4455,52.4138,2.0619,12.9032,9.2784,43.871,56.701,49.6774,5.1546,5.1613,94.8454,94.8387,47.4227,43.299,50.3226
Dadra & Nagar Haveli,age_below10,26,94.6154,92.9936,0.0,0.0,0.0,0.4202,0.3717,0.0,0.7435,32.7731,25.2788,74.7082,72.1631,25.2918,27.8369,32.7731,67.2269,74.7212
Maharashtra,age_10_13,27,32.1707,33.234,3.7046,2.5622,3.1122,2.0496,2.083,1.4431,1.8756,6.7822,6.0953,4.2656,3.7332,95.7344,96.2668,5.3391,93.2178,93.9047
Maharashtra,age_14_17,27,4.2269,4.3428,20.9071,4.5156,12.1556,2.8979,3.4771,8.1876,12.8808,21.2272,19.5576,4.4909,3.5574,95.5091,96.4426,13.0396,78.7728,80.4424
Maharashtra,age_18_21,27,5.0632,4.6113,68.1666,25.3011,45.9429,3.2619,5.1543,22.1689,34.2171,52.9607,43.3178,6.2717,4.1489,93.7283,95.8511,30.7918,47.0393,56.6822
Maharashtra,age_below10,27,95.8137,95.7323,0.0,0.0,0.0,1.2614,1.2989,0.719,0.7658,28.9477,28.8528,72.8935,72.9717,27.1065,27.0283,28.2287,71.0523,71.1472
Andhra Pradesh,age_10_13,28,18.4942,21.3498,2.036,0.9752,1.5027,1.4795,1.5853,3.5667,2.993,9.2348,7.3537,5.7686,4.427,94.2314,95.573,5.6681,90.7652,92.6463
Andhra Pradesh,age_14_17,28,2.6014,2.4601,20.7929,2.902,11.6106,2.5326,3.0775,16.5278,19.365,27.4709,25.2178,7.8082,5.6438,92.1918,94.3562,10.9431,72.5291,74.7822
Andhra Pradesh,age_18_21,28,3.7521,2.8227,70.3562,29.5032,50.0598,3.0235,4.3564,36.1081,41.5548,59.4239,48.9561,15.1026,8.482,84.8974,91.518,23.3159,40.5761,51.0439
Andhra Pradesh,age_below10,28,91.6194,92.0808,0.0,0.0,0.0,0.8432,0.8675,0.7051,0.7103,25.3256,25.0786,71.9371,72.1312,28.0629,27.8688,24.6205,74.6744,74.9214
Karnataka,age_10_13,29,28.4413,28.7738,2.6611,1.1738,1.8972,1.8704,1.9909,3.7031,3.3928,12.3712,9.1511,7.6624,5.0455,92.3376,94.9545,8.668,87.6288,90.8489
Karnataka,age_14_17,29,4.2954,3.751,21.3402,3.2101,11.8402,2.8343,3.651,17.9988,23.0745,35.3001,31.016,10.2361,6.5142,89.7639,93.4858,17.3013,64.6999,68.984
Karnataka,age_18_21,29,5.316,4.9347,68.5073,23.8639,45.9544,3.0733,5.0277,35.2565,50.1635,67.3231,58.9401,16.8397,9.3423,83.1603,90.6577,32.0666,32.6769,41.0599
Karnataka,age_below10,29,95.4236,95.3619,0.0,0.0,0.0,1.0016,1.0563,0.7351,0.7559,34.4855,33.6504,73.5292,73.0216,26.4708,26.9784,33.7503,65.5145,66.3496
Goa,age_10_13,30,32.5843,36.0939,1.9569,1.5444,1.7493,3.3453,4.1112,0.9558,1.451,8.1243,5.0786,4.3011,2.1765,95.6989,97.8235,7.1685,91.8757,94.9214
Goa,age_14_17,30,2.904,3.0303,13.894,3.8427,8.8116,3.5539,5.8126,5.0245,7.9478,18.3824,16.6074,2.9412,2.1352,97.0588,97.8648,13.3578,81.6176,83.3926
Goa,age_18_21,30,2.0408,3.4261,47.2843,18.7596,32.7209,6.9114,10.7216,11.6631,21.4433,42.9806,35.4639,4.7516,3.7113,95.2484,96.2887,31.3175,57.0194,64.5361
Goa,age_below10,30,95.0758,94.6494,0.0,0.0,0.0,2.6236,2.8376,0.7064,1.272,28.8597,28.6693,72.2835,72.1337,27.7165,27.8663,28.1534,71.1403,71.3307
Kerala,age_10_13,32,20.1825,22.1045,1.3305,0.5518,0.933,0.7322,0.7337,0.2722,0.542,2.6035,2.7653,1.2425,1.2631,98.7575,98.7369,2.3313,97.3965,97.2347
Kerala,age_14_17,32,5.8953,4.6324,9.9764,1.3834,5.632,1.4054,1.6329,2.1566,5.5865,8.8986,11.4717,0.9286,0.8317,99.0714,99.1683,6.742,91.1014,88.5283
Kerala,age_18_21,32,3.6882,4.2815,48.6502,9.9459,29.5445,1.9934,2.4446,9.4985,28.4851,37.381,43.8031,1.0346,0.8477,98.9654,99.1523,27.8824,62.619,56.1969
Kerala,age_below10,32,95.5745,95.8659,0.0,0.0,0.0,0.4796,0.4923,0.1863,0.2229,21.9247,22.4454,70.8797,70.856,29.1203,29.144,21.7383,78.0753,77.5546
Tamil Nadu,age_10_13,33,10.5779,11.6077,1.9172,0.6885,1.2892,1.537,1.5497,1.0595,1.3693,5.0878,5.1247,2.5032,2.2222,97.4968,97.7778,4.0283,94.9122,94.8753
Tamil Nadu,age_14_17,33,0.8575,0.9388,14.6163,2.3237,8.3545,2.3145,2.5711,9.7091,13.7605,22.2211,23.2778,2.6094,1.9658,97.3906,98.0342,12.512,77.7789,76.7222
