state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Tripura,age_10_13,16,48.8145,35.9663,33.8519,34.4828,39.0103,31.25,0.9345,0.9315,1.6448,2.0661,3.6832,0.5952,7.9627,5.2126,4.1315,3.3333,2.5101,11.1111,92.0373,94.7874,95.8685,96.6667,97.4899,88.8889,3.0588,6.8133,5.6291,10.3448,3.5001,12.5
Tripura,age_14_17,16,17.239,7.6082,7.1787,6.6667,8.6348,25.0,19.655,14.0189,19.8294,15.7025,30.6921,11.9048,12.0242,5.5479,4.8161,11.7647,3.2817,4.7619,87.9758,94.4521,95.1839,88.2353,96.7183,95.2381,36.1035,46.8299,48.7501,46.6667,42.2968,45.0
Tripura,age_18_21,16,22.518,10.365,10.5152,5.5556,15.1308,0.0,45.5392,47.919,37.9601,41.7355,34.9792,46.4286,18.1818,8.103,7.3628,14.2857,5.9255,0.0,81.8182,91.897,92.6372,85.7143,94.0745,100.0,29.6578,30.5109,30.5198,27.7778,30.4669,20.0
Tripura,age_below10,16,97.3145,94.5338,96.9313,100.0,97.1808,89.4737,1.0487,0.9635,0.9967,1.6529,1.1468,0.5952,74.4428,72.4262,72.3135,69.3548,72.0308,69.3548,25.5572,27.5738,27.6865,30.6452,27.9692,30.6452,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,age_10_13,17,52.5667,52.5913,43.0557,53.3333,56.8029,38.7931,1.1508,0.7313,1.2196,1.3605,2.9941,0.534,17.7365,12.024,11.9904,6.25,26.7962,7.2,82.2635,87.976,88.0096,93.75,73.2038,92.8,5.5441,5.9603,8.1479,13.3333,4.6757,9.4828
Meghalaya,age_14_17,17,14.1711,17.8907,11.9443,10.5263,16.1449,12.3967,8.9643,8.9507,12.2857,10.8844,28.1012,9.8798,12.0,8.0378,11.5754,5.0,27.5195,6.2016,88.0,91.9622,88.4246,95.0,72.4805,93.7984,39.0374,33.0858,41.0483,36.8421,34.4997,40.4959
Meghalaya,age_18_21,17,7.7465,16.3942,10.3879,11.1111,13.8129,7.6923,35.4936,40.2015,37.2375,39.4558,37.6591,42.8571,13.4146,11.3138,16.22,18.1818,37.5844,8.4507,86.5854,88.6862,83.78,81.8182,62.4156,91.5493,30.9859,26.1857,25.4459,11.1111,26.098,40.0
Meghalaya,age_below10,17,89.2989,93.021,92.8322,100.0,92.9475,94.2308,1.1508,1.4716,1.4986,1.3605,2.9397,0.534,82.1004,80.4722,76.0199,77.193,83.0347,76.7857,17.8996,19.5278,23.9801,22.807,16.9653,23.2143,0.0,0.0,0.0,0.0,0.0,0.0
Assam,age_10_13,18,30.1217,39.6564,27.0171,17.6796,37.4201,23.3696,0.7147,0.6765,0.7817,1.2132,1.4558,0.6468,10.445,15.337,9.7155,4.4855,15.4971,5.641,89.555,84.663,90.2845,95.5145,84.5029,94.359,11.359,7.703,12.9192,14.5028,7.6996,15.2174
Assam,age_14_17,18,5.2499,10.8237,6.441,1.2802,10.1532,3.3929,11.6685,11.7735,12.6929,11.2094,22.5957,8.224,10.7256,16.7498,10.8439,2.0891,16.0109,3.4483,89.2744,83.2502,89.1561,97.9109,83.9891,96.5517,54.0636,43.2926,51.6987,49.2176,45.9117,48.0357
Assam,age_18_21,18,7.0466,11.0923,7.3173,2.122,14.0549,3.5714,39.1905,41.5818,39.0552,39.6942,46.4052,36.1116,12.3524,23.6143,15.3828,4.0712,26.7039,4.9608,87.6476,76.3857,84.6172,95.9288,73.2961,95.0392,32.3316,32.8763,28.1441,4.5093,27.3545,17.3077
Assam,age_below10,18,92.9114,93.6518,92.7689,89.7959,94.411,93.8838,1.45,1.6456,1.5181,1.289,1.957,1.1273,73.4899,76.4869,73.3085,72.2065,78.2753,73.1747,26.5101,23.5131,26.6915,27.7935,21.7247,26.8253,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,age_10_13,19,27.8119,38.3637,26.4929,19.8455,36.3826,24.1007,0.8443,1.4348,2.6143,1.217,4.1346,1.2519,3.1932,6.8218,5.9487,3.1088,9.2514,4.248,96.8068,93.1782,94.0513,96.8912,90.7486,95.752,11.8213,8.5847,12.5784,15.3892,8.2746,11.8106
West Bengal,age_14_17,19,6.0817,11.077,8.0199,2.1352,11.8253,3.3277,14.261,17.556,26.7788,11.2985,35.1877,13.718,3.688,8.5712,7.5571,2.487,10.9983,4.882,96.312,91.4288,92.4429,97.513,89.0017,95.118,46.4205,41.5951,46.0585,45.0771,41.2224,46.5877
West Bengal,age_18_21,19,7.6427,12.5918,11.3194,3.8418,16.2384,5.0428,35.1597,36.9013,35.882,36.4429,36.173,36.2421,5.5357,13.6595,11.8394,3.8043,16.8474,5.4005,94.4643,86.3405,88.1606,96.1957,83.1526,94.5995,24.8056,27.137,22.8617,10.1695,24.8172,13.7012
West Bengal,age_below10,19,92.1265,94.6519,92.898,93.0968,94.2316,89.4834,1.0064,0.9674,1.1663,1.0571,1.1719,1.1667,67.9839,71.2604,71.3293,69.6007,74.3025,71.556,32.0161,28.7396,28.6707,30.3993,25.6975,28.444,0.0,0.0,0.0,0.0,0.0,0.0
