state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Dadra & Nagar Haveli,age_18_21,26,3.2609,78.8462,52.4138,2.0619,9.2784,56.701,5.1546,94.8454,47.4227,43.299
Dadra & Nagar Haveli,age_22_25,26,3.4014,93.5811,81.0164,,,,5.7692,94.2308,,
Dadra & Nagar Haveli,age_26_29,26,2.974,,,,,,9.1216,90.8784,,
Dadra & Nagar Haveli,age_30_33,26,7.4236,93.2271,91.5619,,,,8.7649,91.2351,,
Dadra & Nagar Haveli,age_34_plus,26,20.6677,79.2035,87.871,,,,30.4204,69.5796,,
Dadra & Nagar Haveli,age_below10,26,94.6154,0.0,0.0,0.4202,0.0,32.7731,74.7082,25.2918,32.7731,67.2269
Maharashtra,age_10_13,27,32.1707,3.7046,3.1122,2.0496,1.4431,6.7822,4.2656,95.7344,5.3391,93.2178
Maharashtra,age_14_17,27,4.2269,20.9071,12.1556,2.8979,8.1876,21.2272,4.4909,95.5091,13.0396,78.7728
Maharashtra,age_18_21,27,5.0632,68.1666,45.9429,3.2619,22.1689,52.9607,6.2717,93.7283,30.7918,47.0393
Maharashtra,age_22_25,27,6.6429,85.387,74.5608,,,,9.2833,90.7167,,
Maharashtra,age_26_29,27,9.4922,,,,,,14.0066,85.9934,,
Maharashtra,age_30_33,27,14.2599,89.1012,88.1332,,,,21.5499,78.4501,,
Maharashtra,age_34_plus,27,27.1737,72.705,82.3643,,,,52.7666,47.2334,,
Maharashtra,age_below10,27,95.8137,0.0,0.0,1.2614,0.719,28.9477,72.8935,27.1065,28.2287,71.0523
Andhra Pradesh,age_10_13,28,18.4942,2.036,1.5027,1.4795,3.5667,9.2348,5.7686,94.2314,5.6681,90.7652
Andhra Pradesh,age_14_17,28,2.6014,20.7929,11.6106,2.5326,16.5278,27.4709,7.8082,92.1918,10.9431,72.5291
Andhra Pradesh,age_18_21,28,3.7521,70.3562,50.0598,3.0235,36.1081,59.4239,15.1026,84.8974,23.3159,40.5761
Andhra Pradesh,age_22_25,28,5.5996,87.3925,80.0429,,,,25.983,74.017,,
